Arameen word,French meaning
אֲבָל,Mais
אַדְּהָכִי וְהָכִי,Entre-temps
אַדְּרַבָּה,Au contraire
אוּמָה,Une nation
אוּמוֹת הָעוֹלָם,Les nations du monde
אוּרְתָא,Le soir
אֶחָד… וְאֶחָד,Que se soit… et que se soit
אֲחוּהָ,Frère de
אַחֵר,Autre/surnom d’Elisha ben Avouya
אַחַר,Après
אַחֲרִינָא,Autre
אַחַת,Que se soit/une
אַחַת… וְאַחַת,Que se soit… et que se soit
אֲחָתֵיהּ,La sœur de …/sa sœur
אַטּוּ,À cause/est-ce que
אִי,Si/ne pas (négation)
אִי נַמֵי,Voir aussi
אִי אָמַרְתָּ,Si tu dis
אִי אֶפְשָׁר,Ce n'est pas possible
אִי בָּעֵית אֵימָא,Si tu veux je te dirais
אִי הָכִי,Si c'est ainsi
אִי לֵימָא,Si tu dis
אִי נַמֵי,Ou alors
אִיבָּעְיָא לְהוֹ,On (leur) a demandé
אִיבָעֵית אֵימָא,Si tu veux je te dirais
אִיגַּלַּאי מִילְּתָא,Il s’est avéré
אִידִי וְאִידִי,Et l’un et l’autre
אִידָךְ,L’autre
אַיְידֵי,Puisque
אָיְירֵי,Il s’agit
אַיְיתֵּי,Il a amené
אִיכָּא,il y a
אִיכָּא דְאָמְרֵי,il y en a qui disent (autrement)
אִיכַּסִּיף,il a eu honte
אִילֵימָא,si tu dis
אֵימָא,tu n'as qu'à dire
אִימָּא,la mère de
אִין,oui/ on ne ... pas (forme de négation)
אִין הָכִי נַמֵּי,effectivement
אִינִי,vraiment?!
אֵינִי,je ne ... pas
אֱינִישׁ,un homme/une personne
אֱינָשֵׁי,les gens
אִיסּוּרָא,un interdit/nom d'un sage/nom petite pièce de bronze
אִיפְּכָא,l'inverse
אִיפְּכָא מִסְתַּבְּרָא,c'est l'inverse qui est logique
אִיתָא,il y a
אִיתַּמּר,il a été dit
אִיתְּתָא,une femme
אִכַּסִּיף,il a eu honte
אַל תִּקְרֵי,"ne lis pas (ainsi..., mais..)"
אִלָּא,seulement
אלוּ,voici
אֵלּוּ,ceux-là
אַלִּיבָּא,selon
אַלְמָא,donc
אַלָּמָה,alors pourquoi
אִלְמָלֵא,s'il n'y avait pas eu...
אִלְמָלֵי,sil y avait eu
אִם כֵּן,si c'est ainsi
אִם תִּמְצָא לוֹמַר,Si tu vas dire (répondre)
אַמַּאי,pourquoi
אֲמַר לֵיהּ,il lui a dit
אֲמַר מַר,notre maître a dit/rav (intel) a dit
אֲמַר קְרָא,le verset a dit
אָמְרִי,on a dit
אַמָּה,1 servante
אַמָּה,1 coudée
אִמָּהּ,sa mère
אֲנָא,moi/je
אֲנַן,nous/1er forme du pluriel
אָסוּר,interdit
אַסוּר,lié
אָסוּר,je me détourne
אַף,même/colère/le nez/ange maléfique
אַף עַל גַּב,bien que
אַף עַל פִּי,bien que
אַף עַל פִּי כֵן,malgré cela
אֲפִילּוּ,même
אֲפַכוּהּ,ils ont inversé (l’enseignement)
אֶפְשָׁר,c'est possible/est-ce possible que…
אֵצֶל,chez/auprès de
אַרְבַּע,quatre
אַרְעָא,une terre/la terre
אַשְׁמוֹעִינַן,on nous a fait entendre (appris)
אֲתָא,il est venu
אֲתוּ לְקַמֵּיהּ,ils sont venus devant (intel/lui)
אַתְיָא,on l'apprend/on l'amène/il est venu
אִתְּמַר,il a été dit
אַתְרָא,un endroit
בְּהָא,dans ça
בְּהֶדְיָא,clairement/explicitement
בֵּית הַכִּסֵּא,des toilettes
בַּמֶּה דְּבָרִים אֲמוּרִים,de quel cas s’agit-il
בְּמַאי עֲסִיקִינַן,de quoi on s’occupe (on parle)
בְּעֵי,Il a demandé
בְּעַי,il veut
בָּעֵי,il a besoin
בְּעִי מִינֵּיהּ,on lui a demandé
בְּעִידָּנָא,au moment
בַּעַל,le propriétaire/mari/il a eu une relation
בְּעָלְמָא,simplement/en général
בַּר,fils delà l'extérieur
בְּרֵיהּ,son fils/fils de
בִּשְׁלָמָא,ça va bien (dans ce cas/selon)
בָּתְרָא,dernier
גַּבְרָא,un homme/mari
גּוּפָא,on reprend un enseignement déjà-dit/elle-même/soi-même/corps/essence de
גְּזַלַן,un voleur (qui vole publiquement)
גְּזֵירָה,un décret
גְּזֵרָה,un décret
גָּזְרָה,elle a coupé
גִּילוּי מִילְּתָא,un dévoilement
גְּמִירִי,on a appris/on a reçu comme loi
גָּמַר,(il) apprend/fin de
גְּנַב,un voleur (qui vole en cachette)
גְּרֵידָא,seulement
דְּאוֹרָיְיתָא,(loi) de la torah
דְּאִי,car si
דְּאִי אִתְּמַר,car si on avait dit
דְּאִי אַשְׁמוֹעִינַן,car si on nous avait appris
דְּאִי לָא תֵימָא הָכִי,car si tu ne dis pas ainsi
דְּאָמְרִי תַרְוַיְיהוּ,qui ont dit tous les deux
דּוּמְיָא,en ressemblant/ça ressemble
דָּיֵיק,il déduit
