Mot (Nikkud),Dictionnaire,Sens (Attendu),Correct?,Meme exact?,Correction,Modele,Statut manuel,Note manuelle,Notes
אֲבָל,אֶבְלֵיהּ (מועד קטן כא א)   - אֶבְלוֹ,Mais,✓,-,-,,,,"אֲבָל avec sheva sous aleph et kamatz sous bet est la forme usuelle signifiant « mais » en araméen babylonien, confirmée par les trois occurrences citées"
אַדְּהָכִי וְהָכִי,אַדְּהָכִי - עַד כֹּה; בֵּינָתַיִם,Entre-temps,✗,true,אַדְּהָכִי וְהָכִי,openai/gpt-oss-120b,,,"L'aramaïque «אַדְּהָכִי» (avec dagesh au ד, sheva, kamatz, hiriq) signifie «entre‑temps»; la conjonction «וְ» porte un sheva."
אַדְּרַבָּה,אַדְּרַבָּה - גְּדוֹלָה מִזּוֹ; לְהֵיפֶךְ,Au contraire,✓,-,-,,,,"Vocalisation conforme à l’usage araméen «אדרבה» signifiant «au contraire», dagesh et shva correctement placés."
אוּמָה,,Une nation,✓,-,-,,,,אומה signifie «nation» ; la vocalisation ouk shuruk + kamatz est correcte.
אוּמוֹת הָעוֹלָם,,Les nations du monde,✓,-,-,openai/gpt-oss-120b,,,"Vocalisation correcte : oumôt (אוּמוֹת) avec shuruk sous aleph, cholam sous mem, kamatz sous tav, dagesh dans le mem, correspondant au sens « les nations du monde »."
אוּרְתָא,אוּרְתָא - תְּחִילַת הַלַּיְלָה,Le soir,✓,-,-,,,,"La vocalisation ouּרְתָא (shuruk sous ו, sheva sous ר, kamatz sous ת) correspond à la forme araméenne signifiant «le soir», conforme aux sources talmudiques."
אֶחָד… וְאֶחָד,אֲחַד (עבודה זרה ע א)   - סָגַר,Que se soit… et que se soit,✓,-,-,,,,"Vocalisation correcte : אֶחָד (segol sous א, patach sous ח) et וְאֶחָד (sheva sous ו, segol sous א, patach sous ח)."
אֲחוּהָ,אֲחוֹהּ (בבא בתרא קנא א)   - אֶחָיו (=אֲחוֹהִי),Frère de,✗,false,אֲחוּהּ,,good,,"La forme araméenne «אֲחוּהּ» (patach sous א, shuruk sous ו, hé final avec dagesh) signifie «frère de»; le kamatz final «אֲחוּהָ» est incorrect."
אַחֵר,אחר - אחר,Autre/surnom d’Elisha ben Avouya,✓,-,-,,,,Vocalisation correcte du mot araméen 'אחר' signifiant 'autre' (nom d'Elisha ben Avouya)
אַחַר,אחר - אחר,Après,✓,-,-,,,,"En araméen babylonien, le sens « après » s’écrit אַחַר (patah sous ח); אַחֵר signifie « autre »."
אַחֲרִינָא,אַחֲרִינָא - אַחֵר,Autre,✓,-,-,,,,"Vocalisation correcte, correspond à « autre » dans le Talmud babylonien"
אַחַת,אחת ואפטר - אחת ואפטר,Que se soit/une,✓,-,-,,,,Vocalisation correcte pour le sens «une fois» en araméen babylonien.
אַחַת… וְאַחַת,אחת ואפטר - אחת ואפטר,Que se soit… et que se soit,✓,-,-,,,,"Vocalisation correcte : אַחַת … וְאַחַת, forme araméenne féminine de « un » employée au sens « que ce soit… et que ce soit »."
אֲחָתֵיהּ,אֲחָתֵיהּ - אֲחוֹתוֹ,La sœur de …/sa sœur,✓,-,-,,,,"Vocalisation correcte : sheva sous א, patach sous ח, tzéré sous ת, dagesh dans ה final, correspondant à « sa sœur » en araméen."
אַטּוּ,אַטּוּ - כְּלוּם?; מִשׁוּם,À cause/est-ce que,✓,-,-,,,,Vocalisation correcte pour le sens « à cause » (mishum)
אִי,אִי - אִם; אִלּוּ; אִלְמָלֵא,Si/ne pas (négation),✓,-,-,,,,"אִי correctement vocalisé avec hiriq sous aleph, signifiant « si » en araméen babylonien"
אִי נַמֵי,אִי נַמֵי - אוֹ גַם,Voir aussi,✓,-,-,openai/gpt-oss-120b,good,,Vocalisation correcte pour le sens "voir aussi" (אִי נַמֵי = "également")
אִי אָמַרְתָּ,אִי - אִם; אִלּוּ; אִלְמָלֵא,Si tu dis,✗,false,אִי אָמַרְתְּ,qwen/qwen3-32b,,,"Le mot 'אמרת' doit se terminer par une ת סופית (תְּ) avec patakh, non une ת עם דגש (תָּ). La forme avec ת סופית est confirmée dans tous les contextes de la Guemara."
אִי אֶפְשָׁר,אִי - אִם; אִלּוּ; אִלְמָלֵא,Ce n'est pas possible,✓,-,-,openai/gpt-oss-120b,,,"Vocalisation correcte : אִי (hiriq sous aleph) + אֶפְשָׁר (segol sous aleph, dagesh dans פ, shin avec point)."
אִי בָּעֵית אֵימָא,אי בעית אימא - אִם רְצוֹנְךָ אֱמֹר,Si tu veux je te dirais,✗,-,-,qwen/qwen3-32b,,,"Le mot commence par 'אם' (אם = 'si') avec patach, pas 'אי' (אי = 'non'). La vocalisation correcte est 'אם בעית אימא' (אם = si, בעית = veux, אימא = dis) selon les occurrences dans la Guemara. Correction IA rejetee car elle modifie le texte arameen au lieu du seul nikkud."
אִי הָכִי,אִי הָכִי - אִם כֵּן; אִם כָּךְ,Si c'est ainsi,✓,-,-,openai/gpt-oss-120b,,,"Vocalisation correcte : אִי avec hiriq, הָכִי avec kamatz sous ה et hiriq sous כּ, correspondant à « si c’est ainsi »."
אִי לֵימָא,אִי - אִם; אִלּוּ; אִלְמָלֵא,Si tu dis,✗,false,אִי לִימָא,openai/gpt-oss-120b,,,"אִי = particule conditionnelle « si », לִימָא = forme araméenne « si l’on dit », le tsere sous ל doit être un hiriq (לִימָא) pour le sens visé"
אִי נַמֵי,אִי נַמֵי - אוֹ גַם,Ou alors,✗,false,אִי נָמִי,openai/gpt-oss-120b,need_more_sources,,"Le mot נמי se vocalise généralement נָמִי (kamatz sous נ, hiriq sous מ) signifiant ""également"", la forme נַמֵי n’est pas attestée pour ce sens."
אִיבָּעְיָא לְהוֹ,אִיבָּעְיָא לְהוֹ - נִשְׁאֲלָה לָהֶם,On (leur) a demandé,✓,-,-,openai/gpt-oss-120b,,,"Vocalisation conforme à la forme אִיבָּעְיָא לְהוֹ (infinitif avec préposition לְ), shva, dagesh et qamatz correctement placés pour le sens « on (leur) a demandé »."
אִיבָעֵית אֵימָא,אִיבָעֵית אֵימָא - אִם נַפְשְׁךָ אֱמֹר,Si tu veux je te dirais,✗,false,אִיבָּעֵית אֵימָא,openai/gpt-oss-120b,,,Le bet doit porter un dagesh (אִיבָּעֵית) comme attesté dans les passages cités; la forme sans dagesh n’est pas utilisée pour ce sens.
אִיגַּלַּאי מִילְּתָא,אִיגַּלַּאי מִילְּתָא - נִתְגַּלְגֵּל הַדָּבָר,Il s’est avéré,✓,-,-,openai/gpt-oss-120b,,,"Vocalisation conforme au dictionnaire et aux occurrences talmudiques, le mot signifie « il s’est avéré »."
אִידִי וְאִידִי,אִידִי וְאִידִי - כַּאן וְכַאן; זֶה וָזֶה; זוֹ וָזוֹ; אֵלּוּ וָאֵלּוּ,Et l’un et l’autre,✗,false,אִידֵּי וְאִידֵּי,openai/gpt-oss-120b,,,"Le mot s’écrit avec dagesh et segol sur ד (אִידֵּי), signifiant « l’un et l’autre » en araméen babylonien."
אִידָךְ,אִידָךְ - הַשֵּׁנִי; הָאַחֵר; הָאַחֶרֶת,L’autre,✗,false,אִידַּךְ,,,,"Le mot araméen «אִידַּךְ» signifie «l’autre»; il s’écrit avec dagesh au ד et patach, pas qamatz, donc la vocalisation étudiante est incorrecte."
אַיְידֵי,אַיְידֵי - עַל יְדֵי; בִּשְׁבִיל,Puisque,✓,-,-,,,,"Vocalisation conforme au dictionnaire : aleph‑patah, yod‑shva, dalet‑tzere‑yod, signifiant « par », « au moyen de » (≈ « puisque »)"
אָיְירֵי,אָיְירֵי - עוֹסֵק; דָּן,Il s’agit,✗,false,אַיְירִי,openai/gpt-oss-120b,,,"Le nikkud correct est patach sous א, sheva sous י et hiriq sous ר, comme attesté dans la Guemara; la forme étudiante utilise qamatz et segol, ce qui est erroné."
אַיְיתֵּי,אַיְיתֵּי - הֵבִיא; אָבִיא; הָבֵא; הֵבִיאָה,Il a amené,✗,false,אַיְיתִי,,,,"Le verbe araméen 'אייתי' signifie 'il a amené'; la forme correcte est אַיְיתִי (patach sous א, sheva sous י, tav sans dagesh, hiriq sous ת)."
אִיכָּא,אִיכָּא - יֵשׁ כַּאן; יֵשׁ,il y a,✓,-,-,,,,"Vocalisation correcte : chirik sous aleph, dagesh et kamatz sous kaf, forme araméenne 'אִיכָּא' signifiant 'il y a'."
